FID,GEONAME,GENERIC,X,Y
42,Afternoon Peak,Peak,-116.986388899999,52.2997221999999
43,Agar Lake,Lake,-110.1647222,58.2208333
44,Agatha,Locality,-111.3038889,50.1483333999999
45,Aggie,Locality,-116.6416667,55.4513888999999
46,Agnes Lake,Lake,-112.524444399999,55.8077777999999
47,Agnes Lake,Lake,-114.9680556,54.9133332999999
48,Aguhway Lake,Lake,-113.628055599999,56.9047222
49,Aiguille Peak,Peak,-116.6680556,51.805
50,Airdrie,City,-114.0141667,51.2922221999999
51,Akamina Lake,Lake,-114.0347222,49.0238889
52,Akamina Pass,Pass,-114.054444399999,49.0244445
53,Akasu Hill,Hill,-111.8416667,53.475
54,Akasu Lake,Lake,-111.8230556,53.5094444
55,Akenside,Locality,-113.235555599999,53.6022222
56,Akinsdale,Urban Community,-113.591669999999,53.629167
57,Akuinu River,River,-114.360555599999,54.9025
58,Alba Lake,Lake,-110.434722199999,52.7713888999999
59,Albert Lake,Lake,-110.45,53.1669443999999
60,Albert Park,Locality,-113.998888899999,51.0383332999999
61,Alberta,Province,-114.376666999999,54.991667
62,Alberta Avenue,Urban Community,-113.483329999999,53.566667
63,Alberta Beach,Village,-114.351111099999,53.6780554999999
64,Alberta Park Industrial,Urban Community,-113.597219999999,53.566667
65,Albertine Creek,Creek,-119.052499999999,53.7994445
66,Albright,Locality,-119.497222199999,55.2658332999999
67,Albright Creek,Creek,-120.0011111,55.4869443999999
